MarketName,Website,street,city,County,State,zip,Location,Credit,WIC,WICcash,SFMNP,SNAP,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,updateTime
Barker Farmers Market,http://www.VillageofBarker@roadrunner.com,"Main St., & Quaker Rd.",Barker,Niagara,New York,14012,Local government building grounds,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,N,6/18/13 23:41
Kuyahoora Valley Farmers Market,http://www.kvfarmersmarket.com/,5 Blue Heron Dr.,Barneveld,Herkimer,New York,13304,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
"Genesee Country Farmers Market, Inc",,"Batavia Downs parking lot, 8315 Park Road",Batavia,Genesee,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,3/1/12 9:55
G&G Winter Farmers Market,http://www.winterfarmersmarketlongisland.com/,Bayville Ave,Bayville,,New York,11709,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Beacon Farmers Market,,"Ferry Dock, Train Station Parking Lot",Beacon,Dutchess,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
Greater Bellport Community Youth Farmers Market,,Montauk Highway,Bellport,Suffolk,New York,11713,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Jun 3 2010 6:33PM
Belmont Farmers Market,,"32 Willits Ave,( Rt. 19)",Belmont,Allegany,New York,14813,Other,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,6/12/13 11:18
Our Valley Community Farmers' Market,http://www.ourvalleycfm.org,18 Brimmer Farm Road,Berlin,Rensselaer,New York,12022,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",Y,N,N,N,N,Y,Y,N,N,Y,N,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,5/23/12 20:13
Harvest Festival at Bethel Woods,http://www.bethelwoodscenter.org,Hurd & West Shore Rds,Bethel,Sullivan,New York,12754,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Apr 20 2010 11:09AM
Downtown Binghamton Farmers Market,http://www.binghamtonfarmersmarket.com,52 Court Street,Binghamton,Broome,New York,13901,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
Northside Farmers Market,,"Big Lots Parking Lot, 435 State St.",Binghamton,Broome,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
Otsiningo Park Farmers' Market,,1 Bevier St,Binghamton,Broome,New York,13905,Local government building grounds,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,N,N,5/5/11 8:25
Bolton Landing Chamber of Commerce Farmers' Market,http://www.boltonlandingfarmersmarket.com/boltonlandingfarmersmarket.com/Welcome.html,7 Goodman Ave,Bolton Landing,,New York,12814,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Boonville Farmers Market,http://www.boonvillefarmersmarket.com,222 Schuyler St.,Boonville,Oneida,New York,13309,Other,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,6/29/13 17:00
Branchport Farmers Market - Winter Market,http://www.branchportfarmersmarket.blogspot.com,3699 Rte 54A,Branchport,Yates,New York,14418,Educational institution,Y,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,6/25/13 8:18
Branchport Farmers Market -Summer Market,http://www.branchportfarmersmarket.blogspot.com,3686 Rte 54A,Branchport,Yates,New York,14418,Local government building grounds,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,6/25/13 8:19
Brewster Farmers Market,http://www.brewsterfarmersmarket.com,208 E. Main St.,Brewster,Putnam,New York,10509,Local government building grounds,Y,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,6/17/13 21:03
Hayground School Farmers' Market,,151 Mitchell Lane,Bridgehampton,Suffolk,New York,11932,Educational institution,Y,Y,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,N,Y,Y,N,Y,Y,N,Y,5/28/12 16:24
Brockport Farmers Market,,"Market St, between Main & Water Sts",Brockport,Monroe,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
Bronx Borough Hall Greenmarket,http://www.grownyc.org,Grand Concourse & 161 St,Bronx,Bronx,New York,10452,Other,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,7/23/13 14:44
Culinary Kids Farmers Market II,,Beach 58th Street & Beach Channel Drive,Bronx,Queens,New York,10468,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
Harvest Home Co-op City Market,http://www.harvesthomefm.org,"Co-op City Blvd, between Benchley Place",Bronx,Bronx,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Apr 21 2010 11:31AM
Harvest Home Echo Park Market,http://www.harvesthomefm.org,"Tremont Avenue, between Anthony",Bronx,Bronx,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Apr 21 2010 11:30AM
Harvest Home Forest Avenue Market,http://www.harvesthomefm.org,Forest Ave. btw 156th and Westchester,Bronx,Bronx,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Apr 21 2010 11:33AM
Harvest Home Jerome Avenue Market,http://www.harvesthomefm.org,Plaza Drive Between 170th & Elliot Place,Bronx,Bronx,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Apr 21 2010 12:16PM
Harvest Home Morris Park Market,http://www.harvesthomefm.org,"Loretto Park, between Tomlinson",Bronx,Bronx,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Apr 21 2010 11:29AM
Hunts Point Farmers Market,http://www.downtoearthmarkets.com,Southern Blvd & Est 163rd Street,Bronx,Bronx,New York,10451,Private business parking lot,Y,N,Y,N,Y,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,6/20/13 14:25
Jacobi Market,,1400 Pelham Parkway,Bronx,New York,New York,10461,Healthcare Institution,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,6/2/11 9:26
La Familia Verde Farmers Market,http://www.lafamiliaverde.org,East Tremont Ave. at Lafontaine Ave.,Bronx,Bronx,New York,10460,Other,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,6/25/13 0:44
Lincoln Hospital Greenmarket,http://www.grownyc.org,149 St & Morris,Bronx,Bronx,New York,10451,Other,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,7/23/13 14:42
Montefiore Medical Center Farmers Market_Friday,,E. 233rd St. & Carpenter Ave.,Bronx,Bronx,New York,10467,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
Montefiore Medical Center Farmers Market_Thursday,,111 E. 210th Street,Bronx,Bronx,New York,10467,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
Mount Eden Farmer's Market,http://www.harvesthomefm.org,Mount Eden & Morris Avenue,Bronx,Bronx,New York,10457,Local government building grounds,Y,Y,Y,Y,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,2/19/12 16:32
New York Botanical Garden Greenmarket,http://www.grownyc.org,Kazimiroff Blvd-Bedford Pk & Mosholu Blvd inside NYBG Mosholu Gate,Bronx,Bronx,New York,10458,Private business parking lot,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,7/23/13 15:13
North Central Bronx Market,,Mosholu Parkway North & Jerome,Bronx,Bronx,New York,10467,Local government building grounds,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,6/20/11 10:43
Parkchester/Virginia Pk Greenmarket,http://www.grownyc.org,Westchester Ave & White Plains Rd,Bronx,Bronx,New York,10472,Other,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,7/23/13 14:40
Poe Park Greenmarket,http://www.grownyc.org,Grand Concourse & 192 St,Bronx,Bronx,New York,10468,Other,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,7/23/13 14:38
Riverdale Y Sunday Market,http://www.riverdaley.org,West 237th Street and Independence Avenue,Bronx,Bronx,New York,10471,Educational institution,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,Y,N,N,6/11/13 8:21
Taqwa Community Farmstand,,"90 W. 164th St at Ogden Ave, in the garden",Bronx,Bronx,New York,10452,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",Y,N,N,Y,Y,N,N,N,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,6/11/13 8:02
The Heights Community Farmers' Market,http://www.bronxworks.org,University Avenue & West 181st Street,Bronx,Bronx,New York,10453,Other,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,6/21/13 10:52
The Market at Bissel Gardens,,E. 241st St. & Baychester Ave.,Bronx,Bronx,New York,10466,Other,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,6/6/12 1:02
Throgs Neck Market,http://www.harvesthomefm.org,Schley Avenue/ Balcom Avenue and E 177th Street,Bronx,Bronx,New York,10465,Other,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,5/1/12 14:15
Bronxville Farmers' Market,http://www.bronxvillechamber.comorwww.villageofbronxville.com,Stone Place at Paxton Avenue,Bronxville,Westchester,New York,10708,Closed-off public street,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,4/26/12 17:25
Added Value Farm Stand at Governors Island,,Gresham Rd,Brooklyn,Kings,New York,11231-1235,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
Bartel-Pritchard Square Greenmarket,http://www.grownyc.org,Prospect Pk W & 15 St,Brooklyn,Kings,New York,11215,Other,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,7/24/13 11:28
Boro Park Greenmarket,http://www.grownyc.org,14th Ave - 49 & 50 Sts,Brooklyn,Kings,New York,11219,Other,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,7/23/13 14:25
Brooklyn Borough Hall Greenmarket,http://www.grownyc.org,Court & Montague,Brooklyn,Kings,New York,11201,Other,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,7/23/13 14:30
Brooklyn Bridge Park's Down to Earth Farmers Market,http://www.downtoearthmarkets.com,Pier 6,Brooklyn,Kings,New York,11201,Closed-off public street,Y,Y,N,Y,N,Y,N,N,N,N,Y,Y,Y,N,Y,N,Y,N,N,N,Y,Y,N,N,N,6/20/13 14:42
Bushwick Farmers' Market,http://www.EcoStationNY.org,Halsey Street and Broadway,Brooklyn,Kings,New York,11233,Other,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,5/30/12 20:56
Bushwick Farmers' Market,http://www.EcoStationNY.org,Knickerbocker and Starr St.,Brooklyn,Kings,New York,11237,Other,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,5/30/12 20:56
Bushwick Farmers' Market,http://www.EcoStationNY.org,Linden Street and Broadway,Brooklyn,Kings,New York,11221,Other,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,N,N,N,5/30/12 20:56
Bushwick Farmers' Market II/Maria Hernandez Park,http://www.bushwickfarmersmarket.org,Knickerbocker and Willoughby avenue,Brooklyn,Kings,New York,11237,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,May 4 2010 4:41PM
Bushwick Farmers' Market Satellite Farm Stand,http://www.EcoStationNY.org,Woodbine Street and Irving Avenue,Brooklyn,Kings,New York,11237,Other,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,5/30/12 21:17
Bushwick Farmers' Market Satellite Farm Stand,http://www.EcoStationNY.org,Halsey Street and Wilson Avenue,Brooklyn,Kings,New York,11207,Other,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,5/30/12 21:17
Bushwick III / Myrtle-Wyckoff Farmers Market,http://www.bushwickfarmersmarket.org,Myrtle Ave. & Wyckoff Ave.,Brooklyn,Kings,New York,11206,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011
Carroll Gardens Greenmarket,http://www.grownyc.org,Carroll - Smith & Court,Brooklyn,Kings,New York,11231,Other,Y,Y,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,Y,N,Y,N,N,N,Y,N,N,N,Y,7/23/13 14:22
Coney Island Farmers Market,,WEST 16 STREET SURF AVE,BROOKLYN,Kings,New York,11224,Other,Y,N,Y,Y,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,N,N,N,6/16/13 4:34
Coney Island Hospital Market,,Lutheran Way 55th Street Sunset Park,Brooklyn,New York,New York,11220,Healthcare Institution,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,6/20/11 11:11
Cooper Park Farmers Market,http://www.downtoearthmarkets.com,Maspeth Ave and Olive St,Brooklyn,Kings,New York,11211,Other,Y,Y,Y,Y,N,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,6/20/13 13:53
Cortelyou Greenmarket,,Cortelyou & Rugby Rds,Brooklyn,Kings,New York,11226,Other,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,N,Y,N,Y,N,Y,7/24/13 11:31
East New York Farmers' Market,http://www.eastnewyorkfarms.org,New Lots Ave. and Georgia Ave,Brooklyn,Kings,New York,11207,Healthcare Institution,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,5/2/12 12:13
East New York Farmers' Market,http://www.eastnewyorkfarms.org,"Schenck Ave, between New Lots and Livonia",Brooklyn,Kings,New York,11207,Closed-off public street,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,5/2/12 12:13
Graham Avenue Farmers Market,http://www.grahamavenuebid.net,Cook Street at the east side intersection of Graham Avenue,Brooklyn,Kings,New York,11206,Closed-off public street,Y,Y,N,Y,Y,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,6/18/13 10:42
Grand Army Plaza Greenmarket,http://www.grownyc.org,Flatbush & Propsect Park W,Brooklyn,Kings,New York,11217,Other,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,Y,Y,7/24/13 11:29
Greenpoint - McCarren Park Greenmarket,http://www.grownyc.org,Union - Driggs N12th St,Brooklyn,Kings,New York,11222,Other,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,N,N,Y,7/23/13 14:34
Hattie Carthan community farmers market,http://www.hattiecarthancommunitymarket.com,49 Van Buren Street,Brooklyn,Kings,New York,11221,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",Y,N,N,N,N,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,6/11/13 15:20
High School for Public Service Youth Farm Market,http://www.hspsfarm.blogspot.com,600 Kingston Avenue,Brooklyn,Kings,New York,11220,Educational institution,Y,Y,Y,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,6/1/12 0:29
Isabahlia Farmers Market,http://www.Isabalialoefinc.org,410 Livoinia Ave,Brooklyn,Kings,New York,11212,Closed-off public street,Y,N,Y,N,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,6/20/13 8:44
Lutheran Market,,150 55th Street,BROOKLYN,New York,New York,11220,Healthcare Institution,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,6/20/11 11:07
Malcolm X Boulevard Community Farmers Market,,"Malcolm X Blvd & Chauncey,",Brooklyn,Kings,New York,11233,Other,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,N,Y,N,N,Y,Y,Y,5/6/12 16:04
McGolrick Park Farmers Market,http://www.downtoearthmarkets.com,Russell St. and Nassau Ave,Brooklyn,Kings,New York,11222,Other,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,6/13/13 13:14
Myrtle Avenue Community-run Farm Stand,http://www.myrtleavenue.org,Myrtle Avenue and North Portland Avenue,Brooklyn,Kings,New York,11205,Other,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,6/12/13 14:43
Red Hook Farmers Market,http://www.added-value.org,580 Columbia St.,Brooklyn,Kings,New York,11231,Local government building grounds,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,Y,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,6/14/11 13:10
Sunset Park Greenmarket,http://www.grownyc.org,4th Ave - 59 & 60 Sts,Brooklyn,Kings,New York,11220,Other,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,7/24/13 11:33
Urban Oasis Farmers Market,,681 Clarkson Ave and Troy Ave,Brooklyn,Kings,New York,11203,Federal/State government building grounds,Y,N,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,6/17/13 12:51
Walt L. Shamel Community Farmers Market(on Dean Street),,1095 Dean Street,Brooklyn,New York,New York,11216,Other,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6/17/13 22:07
Weeksville Farmers Market,http://www.weeksvillesociety.org,1698 Bergen Street,Brooklyn,Kings,New York,11213,Other,Y,Y,N,Y,Y,Y,N,N,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,6/17/13 12:46
Williamsburg Greenmarket,http://www.grownyc.org,Havemeyer & Broadway,Brooklyn,Kings,New York,11211,Other,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,7/23/13 15:10
Windsor Terrace Greenmarket,http://www.cenyc.org,"Prospect Park West & 16th St., inside park entance",Brooklyn,Kings,New York,,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
Wyckoff Farmhouse Farmers' Market,http://www.ecostationny.org,5816 Clarendon Road at Ralph Avenue,Brooklyn,Kings,New York,11203,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,May 4 2010 4:51PM
Caroline Farmers Market,http://www.brooktondalecc.org,522 Valley Rd.,Brooktondale,Tompkins,New York,14817,Other,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,6/10/13 14:44
